Level1,Level2,Level3,Level4,Level5,DisplayOrder
Polonia,dolnośląskie,bolesławiecki,m. Bolesławiec,,1
Polonia,dolnośląskie,bolesławiecki,gm. Bolesławiec,,2
Polonia,dolnośląskie,bolesławiecki,gm. Gromadka,,3
Polonia,dolnośląskie,bolesławiecki,gm. Nowogrodziec,,4
Polonia,dolnośląskie,bolesławiecki,gm. Osiecznica,,5
Polonia,dolnośląskie,bolesławiecki,gm. Warta Bolesławiecka,,6
Polonia,dolnośląskie,dzierżoniowski,m. Bielawa,,7
Polonia,dolnośląskie,dzierżoniowski,m. Dzierżoniów,,8
Polonia,dolnośląskie,dzierżoniowski,gm. Pieszyce,,9
Polonia,dolnośląskie,dzierżoniowski,m. Piława Górna,,10
Polonia,dolnośląskie,dzierżoniowski,gm. Dzierżoniów,,11
Polonia,dolnośląskie,dzierżoniowski,gm. Łagiewniki,,12
Polonia,dolnośląskie,dzierżoniowski,gm. Niemcza,,13
Polonia,dolnośląskie,głogowski,m. Głogów,,14
Polonia,dolnośląskie,głogowski,gm. Głogów,,15
Polonia,dolnośląskie,głogowski,gm. Jerzmanowa,,16
Polonia,dolnośląskie,głogowski,gm. Kotla,,17
Polonia,dolnośląskie,głogowski,gm. Pęcław,,18
Polonia,dolnośląskie,głogowski,gm. Żukowice,,19
Polonia,dolnośląskie,górowski,gm. Góra,,20
Polonia,dolnośląskie,górowski,gm. Jemielno,,21
Polonia,dolnośląskie,górowski,gm. Niechlów,,22
Polonia,dolnośląskie,górowski,gm. Wąsosz,,23
Polonia,dolnośląskie,jaworski,m. Jawor,,24
Polonia,dolnośląskie,jaworski,gm. Bolków,,25
Polonia,dolnośląskie,jaworski,gm. Męcinka,,26
Polonia,dolnośląskie,jaworski,gm. Mściwojów,,27
Polonia,dolnośląskie,jaworski,gm. Paszowice,,28
Polonia,dolnośląskie,jaworski,gm. Wądroże Wielkie,,29
Polonia,dolnośląskie,karkonoski,m. Karpacz,,30
Polonia,dolnośląskie,karkonoski,m. Kowary,,31
Polonia,dolnośląskie,karkonoski,m. Piechowice,,32
Polonia,dolnośląskie,karkonoski,m. Szklarska Poręba,,33
Polonia,dolnośląskie,karkonoski,gm. Janowice Wielkie,,34
Polonia,dolnośląskie,karkonoski,gm. Jeżów Sudecki,,35
Polonia,dolnośląskie,karkonoski,gm. Mysłakowice,,36
Polonia,dolnośląskie,karkonoski,gm. Podgórzyn,,37
Polonia,dolnośląskie,karkonoski,gm. Stara Kamienica,,38
Polonia,dolnośląskie,kamiennogórski,m. Kamienna Góra,,39
Polonia,dolnośląskie,kamiennogórski,gm. Kamienna Góra,,40
Polonia,dolnośląskie,kamiennogórski,gm. Lubawka,,41
Polonia,dolnośląskie,kamiennogórski,gm. Marciszów,,42
Polonia,dolnośląskie,kłodzki,m. Duszniki-Zdrój,,43
Polonia,dolnośląskie,kłodzki,m. Kłodzko,,44
Polonia,dolnośląskie,kłodzki,m. Kudowa-Zdrój,,45
Polonia,dolnośląskie,kłodzki,m. Nowa Ruda,,46
Polonia,dolnośląskie,kłodzki,m. Polanica-Zdrój,,47
Polonia,dolnośląskie,kłodzki,gm. Bystrzyca Kłodzka,,48
Polonia,dolnośląskie,kłodzki,gm. Kłodzko,,49
Polonia,dolnośląskie,kłodzki,gm. Lądek-Zdrój,,50
Polonia,dolnośląskie,kłodzki,gm. Lewin Kłodzki,,51
Polonia,dolnośląskie,kłodzki,gm. Międzylesie,,52
Polonia,dolnośląskie,kłodzki,gm. Nowa Ruda,,53
Polonia,dolnośląskie,kłodzki,gm. Radków,,54
Polonia,dolnośląskie,kłodzki,gm. Stronie Śląskie,,55
Polonia,dolnośląskie,kłodzki,gm. Szczytna,,56
Polonia,dolnośląskie,legnicki,m. Chojnów,,57
Polonia,dolnośląskie,legnicki,gm. Chojnów,,58
Polonia,dolnośląskie,legnicki,gm. Krotoszyce,,59
Polonia,dolnośląskie,legnicki,gm. Kunice,,60
Polonia,dolnośląskie,legnicki,gm. Legnickie Pole,,61
Polonia,dolnośląskie,legnicki,gm. Miłkowice,,62
Polonia,dolnośląskie,legnicki,gm. Prochowice,,63
Polonia,dolnośląskie,legnicki,gm. Ruja,,64
Polonia,dolnośląskie,lubański,m. Lubań,,65
Polonia,dolnośląskie,lubański,m. Świeradów-Zdrój,,66
Polonia,dolnośląskie,lubański,gm. Leśna,,67
Polonia,dolnośląskie,lubański,gm. Lubań,,68
Polonia,dolnośląskie,lubański,gm. Olszyna,,69
Polonia,dolnośląskie,lubański,gm. Platerówka,,70
Polonia,dolnośląskie,lubański,gm. Siekierczyn,,71
Polonia,dolnośląskie,lubiński,m. Lubin,,72
Polonia,dolnośląskie,lubiński,gm. Lubin,,73
Polonia,dolnośląskie,lubiński,gm. Rudna,,74
Polonia,dolnośląskie,lubiński,gm. Ścinawa,,75
Polonia,dolnośląskie,lwówecki,gm. Gryfów Śląski,,76
Polonia,dolnośląskie,lwówecki,gm. Lubomierz,,77
Polonia,dolnośląskie,lwówecki,gm. Lwówek Śląski,,78
Polonia,dolnośląskie,lwówecki,gm. Mirsk,,79
Polonia,dolnośląskie,lwówecki,gm. Wleń,,80
Polonia,dolnośląskie,milicki,gm. Cieszków,,81
Polonia,dolnośląskie,milicki,gm. Krośnice,,82
Polonia,dolnośląskie,milicki,gm. Milicz,,83
Polonia,dolnośląskie,oleśnicki,m. Oleśnica,,84
Polonia,dolnośląskie,oleśnicki,gm. Bierutów,,85
Polonia,dolnośląskie,oleśnicki,gm. Dobroszyce,,86
Polonia,dolnośląskie,oleśnicki,gm. Dziadowa Kłoda,,87
Polonia,dolnośląskie,oleśnicki,gm. Międzybórz,,88
Polonia,dolnośląskie,oleśnicki,gm. Oleśnica,,89
Polonia,dolnośląskie,oleśnicki,gm. Syców,,90
Polonia,dolnośląskie,oleśnicki,gm. Twardogóra,,91
Polonia,dolnośląskie,oławski,m. Oława,,92
Polonia,dolnośląskie,oławski,gm. Domaniów,,93
Polonia,dolnośląskie,oławski,gm. Jelcz-Laskowice,,94
Polonia,dolnośląskie,oławski,gm. Oława,,95
Polonia,dolnośląskie,polkowicki,gm. Chocianów,,96
Polonia,dolnośląskie,polkowicki,gm. Gaworzyce,,97
Polonia,dolnośląskie,polkowicki,gm. Grębocice,,98
Polonia,dolnośląskie,polkowicki,gm. Polkowice,,99
Polonia,dolnośląskie,polkowicki,gm. Przemków,,100
Polonia,dolnośląskie,polkowicki,gm. Radwanice,,101
Polonia,dolnośląskie,strzeliński,gm. Borów,,102
Polonia,dolnośląskie,strzeliński,gm. Kondratowice,,103
Polonia,dolnośląskie,strzeliński,gm. Przeworno,,104
Polonia,dolnośląskie,strzeliński,gm. Strzelin,,105
Polonia,dolnośląskie,strzeliński,gm. Wiązów,,106
Polonia,dolnośląskie,średzki,gm. Kostomłoty,,107
Polonia,dolnośląskie,średzki,gm. Malczyce,,108
Polonia,dolnośląskie,średzki,gm. Miękinia,,109
Polonia,dolnośląskie,średzki,gm. Środa Śląska,,110
Polonia,dolnośląskie,średzki,gm. Udanin,,111
Polonia,dolnośląskie,świdnicki,m. Świdnica,,112
Polonia,dolnośląskie,świdnicki,m. Świebodzice,,113
Polonia,dolnośląskie,świdnicki,gm. Dobromierz,,114
Polonia,dolnośląskie,świdnicki,gm. Jaworzyna Śląska,,115
Polonia,dolnośląskie,świdnicki,gm. Marcinowice,,116
Polonia,dolnośląskie,świdnicki,gm. Strzegom,,117
Polonia,dolnośląskie,świdnicki,gm. Świdnica,,118
Polonia,dolnośląskie,świdnicki,gm. Żarów,,119
Polonia,dolnośląskie,trzebnicki,gm. Oborniki Śląskie,,120
Polonia,dolnośląskie,trzebnicki,gm. Prusice,,121
Polonia,dolnośląskie,trzebnicki,gm. Trzebnica,,122
Polonia,dolnośląskie,trzebnicki,gm. Wisznia Mała,,123
Polonia,dolnośląskie,trzebnicki,gm. Zawonia,,124
Polonia,dolnośląskie,trzebnicki,gm. Żmigród,,125
Polonia,dolnośląskie,wałbrzyski,m. Boguszów-Gorce,,126
Polonia,dolnośląskie,wałbrzyski,m. Jedlina-Zdrój,,127
Polonia,dolnośląskie,wałbrzyski,m. Szczawno-Zdrój,,128
Polonia,dolnośląskie,wałbrzyski,gm. Czarny Bór,,129
Polonia,dolnośląskie,wałbrzyski,gm. Głuszyca,,130
Polonia,dolnośląskie,wałbrzyski,gm. Mieroszów,,131
Polonia,dolnośląskie,wałbrzyski,gm. Stare Bogaczowice,,132
Polonia,dolnośląskie,wałbrzyski,gm. Walim,,133
Polonia,dolnośląskie,wołowski,gm. Brzeg Dolny,,134
Polonia,dolnośląskie,wołowski,gm. Wińsko,,135
Polonia,dolnośląskie,wołowski,gm. Wołów,,136
Polonia,dolnośląskie,wrocławski,gm. Czernica,,137
Polonia,dolnośląskie,wrocławski,gm. Długołęka,,138
Polonia,dolnośląskie,wrocławski,gm. Jordanów Śląski,,139
Polonia,dolnośląskie,wrocławski,gm. Kąty Wrocławskie,,140
Polonia,dolnośląskie,wrocławski,gm. Kobierzyce,,141
Polonia,dolnośląskie,wrocławski,gm. Mietków,,142
Polonia,dolnośląskie,wrocławski,gm. Sobótka,,143
Polonia,dolnośląskie,wrocławski,gm. Siechnice,,144
