Key,es
common.skip,Siguiente
common.search,Buscar
common.loading,Cargando...
common.status.completed,Completado
common.status.in_progress,En progreso
common.status.not_started,No iniciado
common.status.marked_as_completed,Marcado como completado
common.forms.mark_as_done,Marcar el formulario como completado
common.forms.mark_as_in_progress,Marcar el formulario como en progreso
common.cancel,Cancelar
common.save,Guardar
common.no_data,No se encontraron datos.
common.select,Seleccionar
common.done,Completado
common.ok,Aceptar
languages.ro,Rumano
languages.en,Inglés
languages.pl,Polaco
languages.bg,Búlgaro
languages.sr,Serbio
languages.ka,Georgiano
languages.hy,Armenio
languages.ru,Ruso
languages.az,Azerbaiyano
onboarding.language.heading,Elige tu idioma
onboarding.language.description,"Este será el idioma en el que se mostrará tu aplicación y se puede cambiar en cualquier momento desde la sección ""Más"" de la aplicación."
onboarding.language.save,Aplicar selección
onboarding.polling_stations.heading,Monitorea los procesos electorales
onboarding.polling_stations.description,"e informa sobre irregularidades en la campaña, problemas en los centros de votación y cualquier inconveniente durante el día de las elecciones"
onboarding.forms.heading,Llena formularios de observación
onboarding.forms.description,y envía reportes para cada etapa de monitoreo para ayudar a garantizar un proceso electoral transparente y justo
onboarding.media.heading,Agrega notas o archivos multimedia
onboarding.media.description,para respaldar aún más tus observaciones y proporcionar evidencia de cualquier irregularidad
onboarding.media.save,Ir a la aplicación
select_app_mode.heading,Selecciona el modo de la aplicación
select_app_mode.description,Puedes monitorear el proceso electoral como observador acreditado o simplemente como ciudadano interesado en apoyar unas elecciones libres y democráticas.
select_app_mode.accredited_observer.title,Vote Monitor para Observadores Acreditados
select_app_mode.accredited_observer.description,"Soy un observador independiente acreditado, invitado por una ONG para observar el proceso electoral."
select_app_mode.citizen.title,Vote Monitor para Ciudadanos
select_app_mode.citizen.description,Soy un ciudadano y quiero reportar irregularidades electorales que vea durante la campaña electoral o el día de las elecciones.
select_app_mode.helper,**Como observador acreditado podrás cambiar al modo Ciudadano en cualquier momento desde el menú de la aplicación.
select_app_mode.continue,Continuar
select_election_event.heading,Eventos electorales disponibles
select_election_event.description,Selecciona el evento para el cual deseas enviar un reporte:
select_election_event.continue,Continuar
select_election_event.empty_description,"En este momento no hay eventos electorales activos para los cuales puedas reportar incidentes como ciudadano. Una vez que haya un evento disponible, lo verás en esta sección."
select_election_event.error_description,"Ocurrió un error al recuperar los eventos electorales disponibles. Por favor, vuelve a intentarlo."
select_election_event.retry,Reintentar
drawer.report_as_citizen,Reportar como ciudadano
drawer.report_as_accredited_observer,Reportar como observador acreditado
citizen_report_issue.header_title,Reportar un problema
citizen_report_issue.description,"Como ciudadano, puedes reportar un problema relacionado con las elecciones completando uno de los formularios de reporte disponibles a continuación."
citizen_report_issue.disclaimer,"Enviar un reporte a través de Vote Monitor Ciudadano no es lo mismo que presentar una queja oficial ante las autoridades responsables de organizar las elecciones. Para más información sobre cómo se utilizan los reportes, consulta el botón de información en la esquina superior derecha. Si deseas presentar una queja oficial, por favor, consulta el artículo ""Cómo presentar una queja oficial"" en la sección de Recursos."
citizen_report_issue.empty_forms,Los formularios de reporte aparecerán aquí una vez que el equipo de Vote Monitor los publique en el sistema.
citizen_report_issue.error_message,"Ocurrió un error al recuperar los formularios de reporte. Por favor, vuelve a intentarlo."
citizen_report_issue.retry,Reintentar
citizen_report_issue.info_modal.p1,Enviar un reporte a través de Vote Monitor Ciudadano no constituye una queja oficial ante las autoridades responsables de organizar las elecciones y no garantiza que tu reporte será revisado o atendido.
