Key,az,bg,en,hy,ka,pl,ro,ru,sr
common.skip,Növbəti,Пропуснете,Next,Հաջորդը ,შემდეგი,Pomiń,Mai departe,Следующий,Preskoči
common.search,Axtar,Търсене,Search,Որոնել ,ძებნა,Szukaj,Caută,Поиск,Pretraži
common.loading,Yüklənir,Зареждане...,Loading...,Բեռնվում է,იტვირთება,Ładowanie...,Se încarcă...,Загружается,Loading...
common.status.completed,Yerinə yetirildi,Завършен,Done,Կատարված է,შესრულებულია,Ukończono,Completat,Выполнено,Završeno
common.status.in_progress,Davam edir,В процес,In progress,Ընթացքի մեջ է ,მიმდინარეობს,W toku,În desfășurare,В процессе выполнения,U realizaciji
common.status.not_started,Başlamayıb,Не е започнат,Not started,Չի մեկնարկել,არ დაწყებულა,Nie rozpoczęto,Neînceput,Не начато,Nije započeto
common.status.marked_as_completed,Yerinə yetirilmək üçün qeyd olunub,TODO: Отбелязано като завършено,Marked as done,Նշված է որպես կատարված,მონიშნულია შესრულებულად,TODO: Oznaczono jako ukończone,Marcat ca finalizat,Отмечено как выполненное,TODO: Označeno kao završeno
common.forms.mark_as_done,Formanı doldurulmuş olaraq qeyd edin,TODO: Маркирайте формуляра като завършен,Mark form as done,Ձևաթուղթը  նշեք որպես լրացված,მონიშნეთ ფორმა შევსებულად,TODO: Zaznacz formularz jako zakończony,TODO: Marchează formularul ca finalizat,Отметьте форму как выполненную,TODO: Markiraj obrazac kao završen
common.forms.mark_as_in_progress,Formanı hazırda yerinə yetirilən kimi qeyd edin,TODO: Маркирайте формуляра като в прогрес,Mark form as in progress,Ձևաթուղթը նշեք որպես ընթացիկ   ,"მონიშნეთ ფორმა, როგორც მიმდინარე",TODO: Zaznacz formularz jako w trakcie,"TODO: Marchează formularul ""în curs de completare""",Отметить форму как находящуюся в процессе,TODO: Markiraj obrazac kao u toku
common.cancel,Ləğv etmək,Откажи,Cancel,Չեղարկել,გაუქმება,Anuluj,Renunță,Отмена,Otkaži
common.save,Yaddaşa almaq,Запази,Save,Պահպանել,შენახვა,Zapisz,Salvează,Сохранение,Sačuvaj
common.no_data,Məlumat tapılmadı,Няма намерени данни.,No data found.,Տվյալներ չեն գտնվել,მონაცემი არ მოიძებნა,Nie znaleziono danych.,Nu s-au găsit date.,Данные не обнаружены,Nema podataka.
common.select,İzləmək,Изберете,Select,Նշել ,მონიშვნა,Wybierz,Selectează,Отметить,Izaberi
common.done,Yerinə yetirildi,Приключен,Done,Կատարված է,შესრულებულია,Zrobione,Finalizare,Выполнено,Završeno
common.ok,Bəli,Добре,OK,Այո ,დიახ,Dobry,OK,Хорошо,Dobro
languages.ro,Rumın dili,румънски,Romanian,Ռումիներեն ,რუმინული,rumuński,Română,Румынский язык,rumunski
languages.en,İngilis dili,английски,English,Անգլերեն ,ინგლისური,język angielski,Engleză,Английский язык,engleski
languages.pl,Polyak dili,полски,Polish,Լեհերեն,პოლონური,polski,Poloneză,Польский язык,poljski
languages.bg,Bolqar dili,български,Bulgarian,Բուլղարերեն ,ბულგარული,bułgarski,Bulgară,Болгарский язык,bugarski
languages.sr,Serb dili,сръбски,Serbian,Սերբերեն,სერბული,serbski,Sârbă,Сербский язык,srpski
languages.ka,Gürcü dili,грузински,Georgian,Վրացերեն ,ქართული,gruziński,Georgiană,Грузинский язык,gruzijski
languages.hy,Erməni dili,арменски,Armenian,Հայերեն,სომხური,ormiański,Armeană,Армянский язык,jermenski
languages.ru,Rus dili,руски,Russian,Ռուսերեն,რუსული,rosyjski,Rusă,Русский язык,ruski
languages.az,Azərbaycan dili,азербайджански,Azerbaijani,Ադրբեջաներեն ,აზერბაიჯანული,azerbejdżański,Azerbaijană,Азербайджанский язык,azerski
onboarding.language.heading,Dil seç,Изберете език,Choose your language,Ընտրեք լեզուն ,აირჩიე ენა,Wybierz język,Alege limba dorită,Выберите язык,CIzaberite vaš jezik
onboarding.language.description,"Seçdiyiniz dil sizin 
aplikasiyanın əsas dili olacaq və istənilən zaman  aplikasiyanın  “More” bölməsindən  dəyişə bilər
","Това ще е езикът, на който ще се показва Вашето приложение, и може да бъде променен по всяко време в раздел „Повече“ на приложението.","This will be the language in which your app will be displayed, and can be changed at any time from the More Section of the application.","Ընտրված լեզուն դառնում է ձեր հավելվածի հիմնական լեզուն, որը ցանկացած պահի հնարավոր է փոխել հավելվածի «More» բաժինն անցնելով:","არჩეული ენა იქნება თქვენი აპლიკაციის ძირითადი ენა, რომელიც ნებისმიერ დროს შეიძლება შეიცვალოს აპლიკაციის სექციიდან ""More""",To będzie język wyświetlania aplikacji. Możesz go zmienić w dowolnym momencie w aplikacji w sekcji 'więcej'.,Aceasta va fi limba de afișare a aplicației și poate fi schimbată oricând din secțiunea 'Altele'. ,"Выбранный язык будет основным языком вашего приложения, который можно изменить в любой момент в разделе приложения «Дополнительно».","Ovo će biti jezik na kojem će vaša aplikacija biti prikazana, koji možete promeniti u bilo koje vreme u odeljku 'Više opcija'."
onboarding.language.save,İzlənilənin aktivləşdirilməsi,Прилагане на избора,Apply selection,Ակտիվացնել նշվածը ,მონიშნულის გააქტიურება,Zastosuj wybór,Aplică selecția,Активация отмеченного,Primeni selekciju
onboarding.polling_stations.heading,Seçki məntəqələrində müşahidəçilik,Наблюдавайте изборни секции,Monitor election processes,Իրականացրեք դիտարկում ընտրատեղամասերում ,საარჩევნო უბნებზე დაკვირვება,Obserwuj komisje,Monitorizează procesele electorale,Наблюдения на избирательных участках,Posmatrajte na biračkim mestima
onboarding.polling_stations.description,Və real vaxtda sizin qeyri-hökumət təşkilatı tərəfindən əvvəlcədən tərtib edilmiş formalarda bütün seçki prosesini  təsvir edin.,"и документирайте в реално време изборния процес, попълвайки чек-листите, които акредитиращата Ви организация е предоставила","and report campaign irregularities, polling station issues, and flag any problems with voting day procedures", և իրական ժամանակում արտացոլեք ամբողջ ընտրական գործընթացը՝ ձեր ՀԿ-ի կողմից նախապես պատրաստված ձևաթղթերի վրա։,"და რეალურ დროში ასახეთ მთელი საარჩევნო პროცესი, თქვენი არასამთავრობო ორგანიზაციის მიერ წინასწარ შედგენილ ფორმებზე.",i dokumentuj na bieżąco przebieg procesu w formularzach przygotowanych przez Twoją organizację,și raportează nereguli în campanie sau la secțiile de votare și semnalează orice nereguli legate de procedurile din ziua votării,"Отразите весь избирательный процесс в режиме реального времени в формах, заранее подготовленных вашей неправительственной организацией.",i dokumentujte u realnom vremenu ceo izborni proces na obrascima koje je postavila vaša akreditovana organizacija.
onboarding.forms.heading,Müşahidəçi formalarını doldurun,Попълвайте чек-листите ,Fill in observation forms,Լրացրեք դիտորդի ձևաթղթերը,შეავსეთ დამკვირვებლის ფორმები,Wypełnij formularze obserwacji,Completează formulare,Заполните формы наблюдателя,Popunjavajte izveštaje
