Key,pl,pl
common.skip,Pomiń,Pomiń
common.search,Szukaj,Szukaj
common.loading,Ładowanie...,Ładowanie...
common.status.completed,Ukończono,Ukończony
common.status.in_progress,W toku,W toku
common.status.not_started,Nie rozpoczęto,Nierozpoczęty
common.status.marked_as_completed,Oznaczono jako ukończone,Oznaczono jako ukończone
common.forms.mark_as_done,Zaznacz formularz jako ukończony,Zaznacz formularz jako ukończony
common.forms.mark_as_in_progress,Zaznacz formularz jako w trakcie,Zaznacz formularz jako w toku
common.cancel,Anuluj,Anuluj
common.save,Zapisz,Zapisz
common.no_data,Nie znaleziono danych.,Nie znaleziono danych.
common.select,Wybierz,Wybierz
common.done,Zrobione,Zrobione
common.ok,Dobry,Ok
languages.ro,rumuński,rumuński
languages.en,język angielski,angielski
languages.pl,polski,polski
languages.bg,bułgarski,bułgarski
languages.sr,serbski,serbski
languages.ka,gruziński,gruziński
languages.hy,ormiański,ormiański
languages.ru,rosyjski,rosyjski
languages.az,azerbejdżański,azerbejdżański
onboarding.language.heading,Wybierz język,Wybierz język
onboarding.language.description,To będzie język wyświetlania aplikacji. Możesz go zmienić w dowolnym momencie w aplikacji w sekcji 'więcej'.,"To będzie język, w którym apliakcja będzie wyświetlana. Możesz go zmienić w dowolnym momencie w aplikacji w sekcji 'Więcej'."
onboarding.language.save,Zastosuj wybór,Zastosuj wybór
onboarding.polling_stations.heading,Obserwuj komisje,Obserwuj prace komisji
onboarding.polling_stations.description,i dokumentuj na bieżąco przebieg procesu w formularzach przygotowanych przez Twoją organizację,i dokumentuj na bieżąco przebieg procesu w formularzach przygotowanych przez Twoją organizację
onboarding.forms.heading,Wypełnij formularze obserwacji,Wypełnij formularze obserwacji
onboarding.forms.description,i śledź postęp w trakcie kolejnych etapów,"i przekaż formularze w trakcie kolejnych etapów, aby pomóc przeprowadzić transparentne i uczciwe wybory"
onboarding.media.heading,Dodaj notatki i pliki z nagraniami lub zdjęciami,Dodaj notatki i pliki z nagraniami lub zdjęciami
onboarding.media.description,"jeśli odnotowałeś jakieś problemy, by dookreślić udzieloną odpowiedź","jeśli odnotowałeś jakieś problemy, by dookreślić udzieloną odpowiedź"
onboarding.media.save,Przejdź do aplikacji,Przejdź do aplikacji
select_app_mode.heading,Wybór trybu aplikacji,Wybór trybu aplikacji
select_app_mode.description,Możesz monitorować proces wyborczy jako akredytowany obserwator lub po prostu jako obywatel zainteresowany wspieraniem uczciwych i demokratycznych wyborów.,Możesz monitorować proces wyborczy jako obserwator lub po prostu jako wyborca zainteresowany wspieraniem uczciwych i demokratycznych wyborów.
select_app_mode.accredited_observer.title,Monitor głosowania dla akredytowanych obserwatorów,Vote Monitor dla Obserwatorów
select_app_mode.accredited_observer.description,"Jestem akredytowanym niezależnym obserwatorem, zaproszonym przez organizację pozarządową do obserwowania procesu wyborczego. **",Jestem apolitycznym obserwatorem z zaświadczeniem wystawionym przez organizację pozarządową uprawnioną do obserwowania procesu wyborczego
select_app_mode.citizen.title,Monitor głosowania dla obywateli,Vote Monitor dla Wyborców
select_app_mode.citizen.description,"Jestem obywatelem i chcę zgłosić nieprawidłowości wyborcze, które widzę podczas kampanii wyborczej lub w dniu wyborów.","Jestem wyborcą i chcę zgłosić nieprawidłowości wyborcze, które widzę podczas kampanii lub w dniu wyborów."
select_app_mode.helper,**Jako akredytowany obserwator będziesz mógł przełączyć się na tryb obywatela w dowolnym momencie z menu aplikacji.,**Jako obserwator będziesz mógł przełączyć się w tryb wyborcy w dowolnym momencie z menu aplikacji.
select_app_mode.continue,Kontynuuj,Kontynuuj
select_election_event.heading,Dostępne wydarzenia wyborcze,Dostępne akcja wyborcza
select_election_event.description,"Wybierz wydarzenie, dla którego chcesz przesłać raport:","Wybierz akcję, do której chcesz przesłać formularz:"
select_election_event.continue,Kontynuuj,Kontynuuj
select_election_event.empty_description,"W tej chwili nie ma aktywnych wydarzeń wyborczych, dla których można zgłaszać incydenty jako obywatel. Gdy wydarzenie będzie dostępne, pojawi się w tej sekcji.","W tej chwili nie ma aktywnych akcji wyborczych, dla których można zgłaszać incydenty jako wyborca. Gdy akcja będzie dodana, pojawi się w tej sekcji."
select_election_event.error_description,Coś poszło nie tak podczas pobierania dostępnych wydarzeń wyborczych. Spróbuj ponownie.,Coś poszło nie tak podczas pobierania dostępnych akcji wyborczych. Spróbuj ponownie.
select_election_event.retry,Ponów próbę,Ponów próbę
drawer.report_as_citizen,Zgłoś jako obywatel,Zgłoś jako wyborca
drawer.report_as_accredited_observer,Zgłoś jako akredytowany obserwator,Zgłoś jako obserwator
citizen_report_issue.header_title,Zgłoś problem,Zgłoś problem
citizen_report_issue.description,"Jako obywatel możesz zgłosić kwestię związaną z wyborami, wypełniając formularz zgłoszeniowy z poniższej listy.","Jako wyborca możesz zgłosić kwestię związaną z wyborami, wypełniając formularz z poniższej listy."
citizen_report_issue.disclaimer,,"Złożenie zgłoszenia poprzez Vote Monitor dla Wyborców nie jest równoznaczne ze złożeniem oficjalnej skargi do organów odpowiedzialnych za organizację wyborów czy organów ścigania ani jej nie zastępuje. Aby uzyskać więcej informacji na temat wykorzystania raportów, kliknij przycisk informacji w prawym górnym rogu. Jeśli chcesz złożyć oficjalną skargę, zapoznaj się z artykułem Jak złożyć oficjalną skargę w sekcji Zasoby."
citizen_report_issue.empty_forms,"Formularze sprawozdawcze pojawią się tutaj, gdy zespół Vote Monitor opublikuje je w systemie.","Formularze pojawią się tutaj, gdy zespół Vote Monitor opublikuje je w systemie."
citizen_report_issue.error_message,Coś poszło nie tak podczas pobierania formularzy raportowania. Spróbuj ponownie.,Coś poszło nie tak podczas pobierania formularzy raportowania. Spróbuj ponownie.
citizen_report_issue.retry,Ponów próbę,Ponów próbę
citizen_report_issue.info_modal.p1,Raporty przesłane za pośrednictwem Vote Monitor Citizen będą analizowane przez organizacje pozarządowe monitorujące wybory i mogą zostać włączone do raportów z obserwacji wyborów. W niektórych przypadkach raporty mogą zostać przekazane instytucjom odpowiedzialnym za organizację wyborów w celu usprawnienia przyszłych procesów wyborczych.,Raporty przesłane za pośrednictwem Vote Monitor dla Wyborców będą analizowane przez organizacje pozarządowe monitorujące wybory i mogą zostać włączone do raportów z obserwacji wyborów. W niektórych przypadkach raporty mogą zostać przekazane instytucjom odpowiedzialnym za organizację wyborów w celu usprawnienia przyszłych procesów wyborczych.
citizen_report_issue.info_modal.p2,"Należy pamiętać, że przesłanie zgłoszenia za pośrednictwem tej aplikacji nie stanowi oficjalnej skargi złożonej do instytucji odpowiedzialnych za organizację wyborów.","Należy pamiętać, że przesłanie zgłoszenia za pośrednictwem tej aplikacji nie stanowi ani nie zastępuje oficjalnej skargi złożonej do instytucji odpowiedzialnych za organizację wyborów ani organów ścigania."
citizen_report_issue.info_modal.p3,,"W niektórych przypadkach Twoje raporty mogą zostać udostępnione organom odpowiedzialnym za organizację wyborów, aby pomóc w usprawnieniu przyszłych procesów wyborczych, choć nie jest to gwarantowane."
citizen_report_issue.info_modal.p4,,"Masz pełną kontrolę nad swoimi danymi osobowymi. Formularze pozwalają wybrać, czy chcesz zgłosić sprawę anonimowo, czy też wyrazić zgodę na kontakt ze strony organizacji w przypadku sprawdzenia Twojego zgłoszenia."
