"Level1","Level2","Level3","Level4","Level5","Nationals","ForeignResidents","Address"
"1F",,,,,5,7,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353"
"1F",,,,,5,,"Inst. María Auxiliadora - Av. Juan de Garay 556 / s/n"
"1F",,,,,5,,"Esc. Nº3 ""Bernardino Rivadavia"" - Bolivar 1235"
"1F",,,,,3,,"Inst. Simón Bolivar - Bolivar 1163"
"1F",,,,,4,,"Esc. Interdisciplinaria Nº3 - Piedras 1430"
"1F",,,,,3,,"Esc. Nº27 ""Dean Funes"" - Defensa 1431"
"1F",,,,,5,,"Esc. Nº4 ""B. Fernández Moreno"" - Perú 1357"
"1F",,,,,5,,"Esc. Nº21 ""Hipólito Vieytes"" - Perú 946"
"1F",,,,,4,8,"Esc. Nº1 ""Valentín Gómez"" - Av. Independencia 758"
"1F",,,,,3,,"Esc. Nº22 ""Dr. Guillermo Rawson"" - Humberto I 343"
"1F",,,,,3,,"Colegio Nº7 ""J. M. Pueyrredón"" - Chacabuco 922"
"1F",,,,,4,,"Jardín de Infantes N° 3 ""San Telmo"" - Piedras 860"
"1F",,,,,3,,"Esc. Nº 37 “Francisco Gatti” - Av. Independencia 672"
"1F",,,,,5,,"UBA - Facultad de Ingeniería - Av. Paseo Colón 850"
"1E",,,,,10,2,"U.C.A.- Edificio Santo Tomás Moro - Av. A. Moreau de Justo 1400"
"1E",,,,,8,2,"U.C.A.- Edificio San Alberto Magno - Av. A. Moreau de Justo 1500"
"1A",,,,,11,14,"Esc. Nº25 ""Bandera Argentina"" - Letonia s/n y Combate de Costa Brava"
"1A",,,,,10,8,"Esc. Nº6 ""Padre C. Mugica"" - Letonia 1940"
"1A",,,,,11,10,"Esc. Infantil Nº5 - Letonia 1928"
"1A",,,,,5,20,"Esc. Nac. de Náutica Manuel Belgrano - Av. Antártida Argentina 1535"
"1A",,,,,4,,"Inst. en Lenguas Vivas ""J. R. Fernández"" - Carlos Pellegrini 1515"
"1A",,,,,6,6,"Esc. Nº2 ""D. F. Sarmiento"" - Av. Pte. Manuel Quintana 31"
"1A",,,,,9,,"Jardín de Infantes Nº4 ""Cinco Esquinas"" - Av. Pte. Manuel Quintana 7"
"1A",,,,,11,7,"Colegio Nº2 ""D. F. Sarmiento"" - Libertad 1257"
"1A",,,,,6,,"Colegio Mallinckrodt - Juncal 1160 / 1178"
"1A",,,,,3,,"Colegio Jesus María – Gimnasio - Uruguay 1241"
"1A",,,,,4,,"Asociación Argentina de Cultura Inglesa - Suipacha 1333"
"1A",,,,,10,6,"USAL - Facultad de Psicología - M. T. de Alvear 1337"
"1A",,,,,4,,"UCES - Paraguay 1318"
"1A",,,,,8,,"Inst. C. Ramos Mejía de Bunge - Paraguay 1252"
"1A",,,,,10,4,"Esc. Nº6 ""French y Beruti"" - Basavilbaso 1295"
"1A",,,,,7,,"Jardín de Infantes N°2 - Juncal 690"
"1D",,,,,7,6,"Colegio de Nuestra Señora - Esmeralda 759"
"1D",,,,,4,8,"Esc. Nº4 ""de Catedral J. M. Estrada"" - Reconquista 461"
"1D",,,,,5,9,"Esc. Nº13 ""Gral. San Martín"" - San Martín 458"
"1D",,,,,3,,"Círculo Policía Federal - Sede Social - San Martín 353"
"1D",,,,,10,,"Bolsa de Comercio de Buenos Aires - 25 de Mayo 359"
"1D",,,,,10,,"Palacio Libertad - Av. Leandro N. Alem 351"
"1B",,,,,4,9,"Esc. Nº5 ""Rodríguez Peña"" - Rodríguez Peña 747"
"1B",,,,,3,,"Inst. Libre de Segunda Enseñanza - Libertad 555"
"1B",,,,,7,,"Esc. Nº7 ""Presidente Roca"" - Libertad 581"
"1B",,,,,8,,"Esc. Nº19 ""Alejandro Volta"" - Rodríguez Peña 551"
"1B",,,,,6,,"Esc. Nº8 ""Nicolás Avellaneda"" - Talcahuano 680"
"1B",,,,,4,,"Colegio Público de Abogados - Av. Corrientes 1441"
"1B",,,,,3,7,"UMSA - Facultad de Artes - Sarmiento 1565"
"1B",,,,,7,,"Complejo Teatro San Martín - Av. Corrientes 1530"
"1B",,,,,7,8,"Club GEBA - Sede Aldao - Bartolomé Mitre 1149"
"1B",,,,,9,,"Esc. Nº9 ""Familia de Cabezón"" - Tte. Gral. J. D. Perón 1140"
"1B",,,,,8,,"UMSA - Av. Corrientes 1723"
"1B",,,,,12,,"Colegio Don Bosco - Solís 252 / Moreno s/n"
"1B",,,,,10,,"Inst. Santa Rosa - Bartolomé Mitre 1655 / s/n"
"1B",,,,,8,,"Inst. Nuestra Señora de Montserrat - Av. Belgrano 1344"
"1C",,,,,,11,"UBA - Facultad de Cs. Sociales - Santiago del Estero 1029"
"1B",,,,,8,8,"UADE - Av. Independencia 1127"
"1B",,,,,8,4,"Inst. Los Robles - Pte. Luis Sáenz Peña 443"
"1B",,,,,4,,"Esc. Nº2 ""Fray C. Rodríguez"" - Chile 1670"
"1B",,,,,10,,"Esc. Nº14 ""Gral. Mariano Necochea"" - Pte. Luis Sáenz Peña 463"
"1B",,,,,4,,"Esc. Nº13 ""Pcia. De Santiago del Estero"" - Chile 1371"
"1D",,,,,3,,"Inst. Priv. Cámara Argentina de Comercio - Av. Rivadavia 970"
"1D",,,,,4,6,"Colegio Nacional de Buenos Aires - Bolívar 263 / Moreno 519"
"1D",,,,,4,,"Defensoría del Pueblo - Av. Belgrano 570"
"1D",,,,,4,,"Inst. Nac. de la Administración Pública - Av. Belgrano 637"
"1D",,,,,5,8,"Esc. Nº4 “Cnel. Isidoro Suárez” - Venezuela 771"
"1F",,,,,3,,"Inst. Superior Octubre - Venezuela 356"
"1D",,,,,3,,"Inst. Celia Martínez de Varela - Av. Paseo Colón 465 / 469"
"1D",,,,,3,,"Universidad ISALUD - Venezuela 847"
"1F",,,,,9,,"Esc. Nº3 ""María Sánchez de Thompson"" - Tacuarí 567"
"1F",,,,,10,,"Esc. Sta. Catalina de Alejandría -Gimnasio - Av. Caseros 851"
"1F",,,,,6,,"Colegio Esteban Echeverría - Av. San Juan 983"
"1F",,,,,4,7,"Inst. Felicia Ramón de Palacios - Av. Brasil 882"
"1F",,,,,4,,"Inst. San Vicente de Paul - Carlos Calvo 924"
"1C",,,,,7,11,"UBA - Facultad de Cs. Sociales - San José 1064"
"1C",,,,,3,,"Esc. Nº7 ""Gral. Güemes"" - Carlos Calvo 1140"
"1C",,,,,5,,"Esc. Nº5 ""Agustín Álvarez"" - Humberto I 1573"
"1C",,,,,4,,"Colegio Inmaculada Concepción - Carlos Calvo 1186"
"1C",,,,,6,,"Colegio N°1 ""Bernardino Rivadavia"" - Av. San Juan 1545 / s/n"
"1C",,,,,8,,"UBA - Facultad de Cs. Sociales - Santiago del Estero 1029"
"1C",,,,,5,3,"Esc. Nº16 ""Eustaquio Cárdenas"" - Salta 1226"
"1C",,,,,8,,"Colegio de la Providencia - Cochabamba 1414"
"1C",,,,,4,4,"Esc. Nº11 ""Dr. Ricardo Gutiérrez"" - Pte. L S. Peña 1215 / Av. San Juan s/n"
"1C",,,,,4,,"Inst. Los Ángeles - Primaria - Virrey Cevallos 1287"
"1C",,,,,4,,"Inst. Vocacional de Arte - Av. Juan de Garay 1684"
"1C",,,,,4,6,"Esc. Nº6 ""Tomás Guido"" - San José 1985"
