"Level1","Level2","Level3","Level4","Level5","Nationals","ForeignResidents","Address"
"1F",,,,,5,7,"Av. San Juan 353"
"1F",,,,,5,,"Av. Juan de Garay 556 / s/n"
"1F",,,,,5,,"Bolivar 1235"
"1F",,,,,3,,"Bolivar 1163"
"1F",,,,,4,,"Piedras 1430"
"1F",,,,,3,,"Defensa 1431"
"1F",,,,,5,,"Perú 1357"
"1F",,,,,5,,"Perú 946"
"1F",,,,,4,8,"Av. Independencia 758"
"1F",,,,,3,,"Humberto I 343"
"1F",,,,,3,,"Chacabuco 922"
"1F",,,,,4,,"Piedras 860"
"1F",,,,,3,,"Av. Independencia 672"
"1F",,,,,5,,"Av. Paseo Colón 850"
"1E",,,,,10,2,"Av. A. Moreau de Justo 1400"
"1E",,,,,8,2,"Av. A. Moreau de Justo 1500"
"1A",,,,,11,14,"Letonia s/n y Combate de Costa Brava"
"1A",,,,,10,8,"Letonia 1940"
"1A",,,,,11,10,"Letonia 1928"
"1A",,,,,5,20,"Av. Antártida Argentina 1535"
"1A",,,,,4,,"Carlos Pellegrini 1515"
"1A",,,,,6,6,"Av. Pte. Manuel Quintana 31"
"1A",,,,,9,,"Av. Pte. Manuel Quintana 7"
"1A",,,,,11,7,"Libertad 1257"
"1A",,,,,6,,"Juncal 1160 / 1178"
"1A",,,,,3,,"Uruguay 1241"
"1A",,,,,4,,"Suipacha 1333"
"1A",,,,,10,6,"M. T. de Alvear 1337"
"1A",,,,,4,,"Paraguay 1318"
"1A",,,,,8,,"Paraguay 1252"
"1A",,,,,10,4,"Basavilbaso 1295"
"1A",,,,,7,,"Juncal 690"
"1D",,,,,7,6,"Esmeralda 759"
"1D",,,,,4,8,"Reconquista 461"
"1D",,,,,5,9,"San Martín 458"
"1D",,,,,3,,"San Martín 353"
"1D",,,,,10,,"25 de Mayo 359"
"1D",,,,,10,,"Av. Leandro N. Alem 351"
"1B",,,,,4,9,"Rodríguez Peña 747"
"1B",,,,,3,,"Libertad 555"
"1B",,,,,7,,"Libertad 581"
"1B",,,,,8,,"Rodríguez Peña 551"
"1B",,,,,6,,"Talcahuano 680"
"1B",,,,,4,,"Av. Corrientes 1441"
"1B",,,,,3,7,"Sarmiento 1565"
"1B",,,,,7,,"Av. Corrientes 1530"
"1B",,,,,7,8,"Bartolomé Mitre 1149"
"1B",,,,,9,,"Tte. Gral. J. D. Perón 1140"
"1B",,,,,8,,"Av. Corrientes 1723"
"1B",,,,,12,,"Solís 252 / Moreno s/n"
"1B",,,,,10,,"Bartolomé Mitre 1655 / s/n"
"1B",,,,,8,,"Av. Belgrano 1344"
"1C",,,,,,11,"Santiago del Estero 1029"
"1B",,,,,8,8,"Av. Independencia 1127"
"1B",,,,,8,4,"Pte. Luis Sáenz Peña 443"
"1B",,,,,4,,"Chile 1670"
"1B",,,,,10,,"Pte. Luis Sáenz Peña 463"
"1B",,,,,4,,"Chile 1371"
"1D",,,,,3,,"Av. Rivadavia 970"
"1D",,,,,4,6,"Bolívar 263 / Moreno 519"
"1D",,,,,4,,"Av. Belgrano 570"
"1D",,,,,4,,"Av. Belgrano 637"
"1D",,,,,5,8,"Venezuela 771"
"1F",,,,,3,,"Venezuela 356"
"1D",,,,,3,,"Av. Paseo Colón 465 / 469"
"1D",,,,,3,,"Venezuela 847"
"1F",,,,,9,,"Tacuarí 567"
"1F",,,,,10,,"Av. Caseros 851"
"1F",,,,,6,,"Av. San Juan 983"
"1F",,,,,4,7,"Av. Brasil 882"
"1F",,,,,4,,"Carlos Calvo 924"
"1C",,,,,7,11,"San José 1064"
"1C",,,,,3,,"Carlos Calvo 1140"
"1C",,,,,5,,"Humberto I 1573"
"1C",,,,,4,,"Carlos Calvo 1186"
"1C",,,,,6,,"Av. San Juan 1545 / s/n"
"1C",,,,,8,,"Santiago del Estero 1029"
"1C",,,,,5,3,"Salta 1226"
"1C",,,,,8,,"Cochabamba 1414"
"1C",,,,,4,4,"Pte. L S. Peña 1215 / Av. San Juan s/n"
"1C",,,,,4,,"Virrey Cevallos 1287"
"1C",,,,,4,,"Av. Juan de Garay 1684"
"1C",,,,,4,6,"San José 1985"
"1C",,,,,10,,"Solís 1815"
"1C",,,,,4,,"San José 1980"
"1C",,,,,3,,"Av. Entre Ríos 1956"
"1C",,,,,9,4,"Constitución 1650"
"2A",,,,,19,4,"Av. Figueroa Alcorta 2263"
"2A",,,,,3,,"Agüero 2502"
"2A",,,,,10,7,"Av. Figueroa Alcorta 2263"
"2A",,,,,7,,"Ayacucho 1849"
"2A",,,,,3,,"Vicente López 1969"
"2A",,,,,18,,"Ayacucho 1680"
"2A",,,,,4,7,"Av. Gral. Las Heras 3086"
"2A",,,,,6,,"Juncal 2623"
"2A",,,,,9,,"Peña 2670"
"2B",,,,,5,,"Billinghurst 1926"
"2A",,,,,4,,"Pacheco de Melo 2455"
"2B",,,,,12,,"Arenales 2733"
"2A",,,,,4,,"Laprida 1635"
"2A",,,,,19,,"Agüero 2320 / s/n"
"2A",,,,,8,,"Larrea 1254"
"2A",,,,,4,,"Juncal 2131"
"2A",,,,,5,10,"Pacheco de Melo 2300"
"2B",,,,,9,,"Av. Santa Fe 2778"
"2A",,,,,3,,"Dr. T. M. de Anchorena 1644"
"2B",,,,,7,,"Dr. T. M. de Anchorena 1553"
"2A",,,,,6,,"Av. Gral Las Heras 2214"
"2A",,,,,4,,"Juncal 1914"
"2A",,,,,14,7,"Azcuénaga 1630"
"2B",,,,,3,,"J. E. Uriburu 1022"
"2A",,,,,9,,"Arenales 2065"
"2B",,,,,12,,"M. T. de Alvear 1851 / 1875"
"2B",,,,,10,,"Ayacucho 953"
"2B",,,,,9,,"Riobamba 1059"
"2B",,,,,5,,"Riobamba 985"
"2B",,,,,,7,"Paraguay 1950"
"2B",,,,,16,2,"Av. Sta Fe 1510 / Paraná 1068"
"2B",,,,,9,,"Paraguay 1706"
"2B",,,,,8,,"Montevideo 1046"
"2B",,,,,7,,"Uruguay 936"
"2B",,,,,3,2,"Paraguay 1452"
"2B",,,,,4,4,"Av. Córdoba 1601"
"2B",,,,,8,,"Av. Córdoba 1951"
"2B",,,,,8,,"Paraguay 1950"
"2B",,,,,8,4,"Larrea 854"
"2B",,,,,10,5,"Paraguay 2155"
"2B",,,,,10,6,"Laprida 1235"
