Level1,Level2,Level3,Level4,Level5,Number,Address
Diaspora,Africa de Sud,Pretoria,,,1,"877 Justice Mahomed str. Brooklyn, Pretoria 0181"
Diaspora,Africa de Sud,Cape Town,,,2,"Helderberg House, 24 Highwick Drive, Kemilworth, 7708, Cape Town"
Diaspora,Republica Albania,Tirana,,,3,"str. e Elbasanit, nr.303, Sauk, cod poștal 1044, Tirana"
Diaspora,Algeria,Alger,,,4,"24, rue Abri Arezki, Hydra, cod poștal 16035, Alger"
Diaspora,Angola,Luanda,,,5,"Rua Ramalho Ortigão, nr. 30, Bairro Alvalade, Luanda"
Diaspora,Regatul Arabiei Saudite,Riyadh,,,6,"Amin al Rihany, building no 2747, villa no 8, zip code 12273"
Diaspora,Argentina,Buenos Aires,,,7,"Calle Arroyo, nr. 962-970, cod poștal 1007AAD, Orașul Autonom Buenos Aires"
Diaspora,Armenia,Erevan,,,8,"Strada Barbusse, nr. 15, cartier Arabkir, cod poștal  0028, Erevan"
Diaspora,Australia,Canberra,,,9,"4 Dalman Crescent, O'Malley, Act, 2606"
Diaspora,Australia,Melbourne,,,10,"Suite 10.01 A, etaj 10, 5 Queens Road, Melbourne 3004 Victoria"
Diaspora,Australia,Adelaide,,,11,"32/34 Rosa St, Goodwood  5034 South Australia"
Diaspora,Australia,Perth,,,12,"8 Clive Street, West Perth 6005, Western Australia"
Diaspora,Noua Zeelandă,Auckland,,,13,"Etaj 16, 56 Wakefield Street, Auckland CBD, Auckland 1010"
Diaspora,Australia,Sydney,,,14,"Suite 4, GF/83 York Street, Sydney, NSW, 2000"
Diaspora,Australia,Surfers Paradise,,,15,"Suite 1, 66 Appel Street, Surfers Paradise, QLD, 4217"
Diaspora,Austria,Viena 1,,,16,"Prinz Eugen Strasse 60, 1040, Viena"
Diaspora,Austria,Viena 2,,,17,"Prinz Eugen Strasse 60, 1040, Viena"
Diaspora,Austria,Viena 3,,,18,"Theresianumgasse 25, 1040, Viena"
Diaspora,Austria,Viena 4,,,19,"Argentinierstrasse 39, 1040, Viena"
Diaspora,Austria,Viena 5,,,20,"Argentinierstrasse 39, 1040, Viena"
Diaspora,Austria,Viena 6,,,21,"Gasometer Spielraum - Guglgasse 8/Gasometer B, Spielraum, etajul 1, 1110, Viena"
Diaspora,Austria,Eisenstadt,,,22,"Hotel Galantha - Esterhazyplatz 3, 7000, Eisenstadt"
Diaspora,Austria,Graz 1,,,23,"Hotel Europa Graz - Bahnhofgürtel 89, 8020, Graz"
Diaspora,Austria,Graz 2,,,24,"Hotel Europa Graz - Bahnhofgürtel 89, 8020, Graz"
Diaspora,Austria,Sankt Pölten,,,25,"Landhausplatz 1, Haus 17A, sala 17A.E01, 3100, Sankt Pölten"
Diaspora,Austria,Salzburg 1,,,26,"Rudolfskai 50, 5020 Salzburg"
Diaspora,Austria,Salzburg 2,,,27,"Rudolfskai 50, 5020 Salzburg"
Diaspora,Austria,Bregenz,,,28,"Hotel Messmer, Kornmarktstraße 16, 6900 Bregenz"
Diaspora,Austria,Innsbruck,,,29,"Novum Innsbruck Mitte, Amraser Straße 31, 6020 Innsbruck"
Diaspora,Austria,Klagenfurt,,,30,"Bahnstraße 89, 9020 Klagenfurt"
Diaspora,Austria,Linz 1,,,31,"Bischöfliches Priesterseminar der Diözese Linz, Harrachstraße 7, 4020 Linz"
Diaspora,Austria,Linz 2,,,32,"Bischöfliches Priesterseminar der Diözese Linz, Harrachstraße 7, 4020 Linz"
Diaspora,Azerbaidjan,Baku,,,33,"B-dul Akad. Hasan Aliyev, nr. 125 A (Narimanov), cod AZ1110, Baku"
Diaspora,Republica Belarus,Minsk,,,34,"Kaliningradski pereulok nr. 12, cod 220012, Minsk"
Diaspora,Belgia,Bruxelles 1,,,35,"Rue Gabrielle 105, 1180 Uccle"
Diaspora,Belgia,Bruxelles 2,,,36,"Avenue de Cortenbergh 71, 1000 Bruxelles"
Diaspora,Belgia,Bruxelles 3,,,37,"Avenue de Cortenbergh 71, 1000 Bruxelles"
Diaspora,Belgia,Bruxelles 4,,,38,"Avenue de Cortenbergh nr. 107, 1000 Bruxelles"
Diaspora,Belgia,Bruxelles 5,,,39,"Rue Gabrielle 107, 1180 Uccle"
Diaspora,Belgia,Bruxelles 6,,,40,"Tour & Taxis - Rue Picard 7, Gare Maritime, 1000 Bruxelles"
Diaspora,Belgia,Bruxelles 7,,,41,"Tour & Taxis - Rue Picard 7, Gare Maritime, 1000 Bruxelles"
Diaspora,Belgia,Bruxelles 8,,,42,"Tour & Taxis - Rue Picard 7, Gare Maritime, 1000 Bruxelles"
Diaspora,Belgia,Bruxelles 9,,,43,"Tour & Taxis - Rue Picard 7, Gare Maritime, 1000 Bruxelles"
Diaspora,Belgia,Bruxelles 10,,,44,"Rue Saint-Francois 63, 1210 Saint-Josse-ten-Noode"
Diaspora,Belgia,Bruxelles 11,,,45,"Rue Saint-Francois 63, 1210 Saint-Josse-ten-Noode"
