Level1,Level2,Level3,Level4,Level5
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,BELLA RICA,
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,SAN ALFONSO,
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,SAN GERARDO,
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,SANTA MARTHA,
AZUAY,CAMILO PONCE ENRIQUEZ,CAMILO PONCE ENRIQUEZ,ZHUMIRAL,
AZUAY,CAMILO PONCE ENRIQUEZ,EL CARMEN DE PIJILI,,
AZUAY,CHORDELEG,CHORDELEG,,
AZUAY,CHORDELEG,CHORDELEG,,
AZUAY,CHORDELEG,LA UNION,,
AZUAY,CHORDELEG,LUIS GALARZA O. (DELEGSOL),,
AZUAY,CHORDELEG,PRINCIPAL,,
AZUAY,CHORDELEG,SAN MARTIN DE PUZHIO,,
AZUAY,CUENCA,BAÑOS,BAÑOS,
AZUAY,CUENCA,BAÑOS,BAÑOS,
AZUAY,CUENCA,BAÑOS,BAÑOS,
AZUAY,CUENCA,BAÑOS,BAÑOS,
AZUAY,CUENCA,BAÑOS,COCHAPAMBA,
AZUAY,CUENCA,BELLAVISTA,,
AZUAY,CUENCA,BELLAVISTA,,
AZUAY,CUENCA,BELLAVISTA,,
AZUAY,CUENCA,BELLAVISTA,,
AZUAY,CUENCA,BELLAVISTA,,
AZUAY,CUENCA,CAÑARIBAMBA,,
AZUAY,CUENCA,CAÑARIBAMBA,,
AZUAY,CUENCA,CAÑARIBAMBA,,
AZUAY,CUENCA,CHAUCHA / ANGAS,CASCAJO,
AZUAY,CUENCA,CHAUCHA / ANGAS,CEDRO,
AZUAY,CUENCA,CHAUCHA / ANGAS,CHAUCHA /ANGAS,
AZUAY,CUENCA,CHAUCHA / ANGAS,SAN ANTONIO,
AZUAY,CUENCA,CHECA JIDCAY,,
AZUAY,CUENCA,CHIQUINTAD,,
AZUAY,CUENCA,CUMBE,,
AZUAY,CUENCA,CUMBE,,
AZUAY,CUENCA,EL BATAN,,
AZUAY,CUENCA,EL BATAN,,
AZUAY,CUENCA,EL BATAN,,
AZUAY,CUENCA,EL BATAN,,
AZUAY,CUENCA,EL VECINO,EL VECINO,
AZUAY,CUENCA,EL VECINO,EL VECINO,
AZUAY,CUENCA,EL VECINO,EL VECINO,
AZUAY,CUENCA,EL VECINO,EL VECINO,
AZUAY,CUENCA,EL VECINO,EL VECINO,
AZUAY,CUENCA,EL VECINO,EL VECINO,
AZUAY,CUENCA,EL VECINO,EL VECINO,
AZUAY,CUENCA,EL VECINO,EL VECINO,
AZUAY,CUENCA,EL VECINO,EL VECINO,
AZUAY,CUENCA,EL VECINO,EL VECINO,
AZUAY,CUENCA,EL VECINO,LA CATÓLICA,
AZUAY,CUENCA,EL VECINO,MIRAFLORES,
AZUAY,CUENCA,HERMANO MIGUEL,EL PROGRESO,
AZUAY,CUENCA,HERMANO MIGUEL,HERMANO MIGUEL,
AZUAY,CUENCA,HERMANO MIGUEL,HERMANO MIGUEL,
AZUAY,CUENCA,HERMANO MIGUEL,UNCOVIA,
AZUAY,CUENCA,HUAYNACAPAC,,
AZUAY,CUENCA,HUAYNACAPAC,,
AZUAY,CUENCA,HUAYNACAPAC,,
AZUAY,CUENCA,HUAYNACAPAC,,
AZUAY,CUENCA,LLACAO,,
AZUAY,CUENCA,MACHANGARA,CAPULISPAMBA,
AZUAY,CUENCA,MACHANGARA,CHALLUABAMBA MACHANGARA,
AZUAY,CUENCA,MACHANGARA,MACHÁNGARA,
AZUAY,CUENCA,MACHANGARA,MACHÁNGARA,
AZUAY,CUENCA,MACHANGARA,OCHOA LEON,
AZUAY,CUENCA,MACHANGARA,QUINTA CHICA,
AZUAY,CUENCA,MOLLETURO,ABDON CALDERÓN,
AZUAY,CUENCA,MOLLETURO,AGUAS CALIENTES,
AZUAY,CUENCA,MOLLETURO,CAYMATAN,
AZUAY,CUENCA,MOLLETURO,ESTERO PIEDRA,
AZUAY,CUENCA,MOLLETURO,FLOR Y SELVA,
AZUAY,CUENCA,MOLLETURO,JESUS DEL GRAN PODER,
AZUAY,CUENCA,MOLLETURO,MOLLETURO,
AZUAY,CUENCA,MOLLETURO,SAN JOSE DE RECREO,
AZUAY,CUENCA,MOLLETURO,TAMARINDO,
AZUAY,CUENCA,MOLLETURO,ZHAGAL,
AZUAY,CUENCA,MONAY,,
AZUAY,CUENCA,MONAY,,
AZUAY,CUENCA,MONAY,,
AZUAY,CUENCA,MONAY,,
AZUAY,CUENCA,MULTI / NULTI,CHALLUABAMBA NULTI,
AZUAY,CUENCA,MULTI / NULTI,MULTI / NULTI,
AZUAY,CUENCA,OCTAVIO CORDERO PALACIOS,,
AZUAY,CUENCA,PACCHA,,
AZUAY,CUENCA,QUINGEO,MONJAS,
AZUAY,CUENCA,QUINGEO,PIRICOCHA,
AZUAY,CUENCA,QUINGEO,QUINGEO,
AZUAY,CUENCA,RAMIREZ DAVALOS,,
AZUAY,CUENCA,RAMIREZ DAVALOS,,
AZUAY,CUENCA,RAMIREZ DAVALOS,,
AZUAY,CUENCA,RAMIREZ DAVALOS,,
AZUAY,CUENCA,RICAURTE,LA DOLOROSA,
AZUAY,CUENCA,RICAURTE,RICAURTE,
AZUAY,CUENCA,RICAURTE,RICAURTE,
AZUAY,CUENCA,RICAURTE,RICAURTE,
AZUAY,CUENCA,SAGRARIO,,
AZUAY,CUENCA,SAGRARIO,,
AZUAY,CUENCA,SAGRARIO,,
AZUAY,CUENCA,SAGRARIO,,
AZUAY,CUENCA,SAN BLAS,,
AZUAY,CUENCA,SAN BLAS,,
AZUAY,CUENCA,SAN BLAS,,
AZUAY,CUENCA,SAN BLAS,,
AZUAY,CUENCA,SAN JOAQUIN,BARABON,
AZUAY,CUENCA,SAN JOAQUIN,SAN JOAQUIN,
AZUAY,CUENCA,SAN JOAQUIN,SAN JOAQUIN,
AZUAY,CUENCA,SAN SEBASTIAN,SAN PEDRO DEL CEBOLLAR,
AZUAY,CUENCA,SAN SEBASTIAN,SAN SEBASTIAN,
AZUAY,CUENCA,SAN SEBASTIAN,SAN SEBASTIAN,
AZUAY,CUENCA,SAN SEBASTIAN,SAN SEBASTIAN,
AZUAY,CUENCA,SAN SEBASTIAN,SAN SEBASTIAN,
AZUAY,CUENCA,SAN SEBASTIAN,SAN SEBASTIAN,
AZUAY,CUENCA,SAN SEBASTIAN,SAN SEBASTIAN,
AZUAY,CUENCA,SANTA ANA,,
AZUAY,CUENCA,SANTA ANA,,
AZUAY,CUENCA,SAYAUSI,BELLAVISTA,
AZUAY,CUENCA,SAYAUSI,SAN MIGUEL,
AZUAY,CUENCA,SAYAUSI,SAYAUSI,
AZUAY,CUENCA,SAYAUSI,SAYAUSI,
AZUAY,CUENCA,SIDCAY,ALTOS DE MACHANGARA,
AZUAY,CUENCA,SIDCAY,BIBIN,
AZUAY,CUENCA,SIDCAY,SIDCAY,
AZUAY,CUENCA,SININCAY,CRUCE DEL CARMEN,
AZUAY,CUENCA,SININCAY,SAN JOSE DE BALZAY,
AZUAY,CUENCA,SININCAY,SININCAY,
AZUAY,CUENCA,SININCAY,SININCAY,
AZUAY,CUENCA,SININCAY,SININCAY,
AZUAY,CUENCA,SUCRE,,
AZUAY,CUENCA,SUCRE,,
AZUAY,CUENCA,SUCRE,,
AZUAY,CUENCA,SUCRE,,
AZUAY,CUENCA,SUCRE,,
AZUAY,CUENCA,SUCRE,,
AZUAY,CUENCA,TARQUI,GULLANZHAPA,
AZUAY,CUENCA,TARQUI,TARQUI,
AZUAY,CUENCA,TARQUI,TARQUI,
AZUAY,CUENCA,TARQUI,TUTUPALI BAJO,
AZUAY,CUENCA,TOTORACOCHA,,
AZUAY,CUENCA,TOTORACOCHA,,
AZUAY,CUENCA,TOTORACOCHA,,
AZUAY,CUENCA,TOTORACOCHA,,
AZUAY,CUENCA,TOTORACOCHA,,
AZUAY,CUENCA,TOTORACOCHA,,
AZUAY,CUENCA,TURI,,
AZUAY,CUENCA,TURI,,
AZUAY,CUENCA,VALLE,CHILCAPAMBA,
AZUAY,CUENCA,VALLE,GUALALCAY,
AZUAY,CUENCA,VALLE,VALLE,
AZUAY,CUENCA,VALLE,VALLE,
AZUAY,CUENCA,VALLE,VALLE,
AZUAY,CUENCA,VICTORIA DEL PORTETE,,
AZUAY,CUENCA,YANUNCAY,CDLA SIMON BOLIVAR,
AZUAY,CUENCA,YANUNCAY,MISICATA,
AZUAY,CUENCA,YANUNCAY,YANUNCAY,
AZUAY,CUENCA,YANUNCAY,YANUNCAY,
AZUAY,CUENCA,YANUNCAY,YANUNCAY,
AZUAY,CUENCA,YANUNCAY,YANUNCAY,
AZUAY,CUENCA,YANUNCAY,YANUNCAY,
AZUAY,CUENCA,YANUNCAY,YANUNCAY,
AZUAY,CUENCA,YANUNCAY,YANUNCAY,
AZUAY,EL PAN,EL PAN,,
AZUAY,EL PAN,SAN VICENTE,LA MERCED,
AZUAY,EL PAN,SAN VICENTE,SAN VICENTE,
AZUAY,EL PAN,SAN VICENTE,SANTA TERESITA,
AZUAY,GIRON,ASUNCION,LA ASUNCION,
AZUAY,GIRON,ASUNCION,LENTAG,
AZUAY,GIRON,GIRON,,
AZUAY,GIRON,GIRON,,
AZUAY,GIRON,GIRON,,
AZUAY,GIRON,SAN GERARDO,,
AZUAY,GUACHAPALA,GUACHAPALA,GUACHAPALA,
AZUAY,GUACHAPALA,GUACHAPALA,SACRE,
AZUAY,GUALACEO,DANIEL CORDOVA TORAL,,
AZUAY,GUALACEO,GUALACEO,BULLCAY,
AZUAY,GUALACEO,GUALACEO,GUALACEO,
AZUAY,GUALACEO,GUALACEO,GUALACEO,
AZUAY,GUALACEO,GUALACEO,GUALACEO,
AZUAY,GUALACEO,GUALACEO,GUALACEO,
AZUAY,GUALACEO,GUALACEO,GUALACEO,
AZUAY,GUALACEO,GUALACEO,GUALACEO,
AZUAY,GUALACEO,JADAN,EL CARMEN,
AZUAY,GUALACEO,JADAN,JADAN,
AZUAY,GUALACEO,JADAN,SANTA ROSA DE CHICHIN,
AZUAY,GUALACEO,LUIS CORDERO VEGA,,
AZUAY,GUALACEO,MARIANO MORENO/CALLASAY,CERTAG,
AZUAY,GUALACEO,MARIANO MORENO/CALLASAY,MARIANO MORENO/CALLASAY,
AZUAY,GUALACEO,REMIGIO CRESPO TORAL,,
AZUAY,GUALACEO,SAN JUAN,,
AZUAY,GUALACEO,SIMON BOLIVAR,,
AZUAY,GUALACEO,ZHIDMAD,SAN JOSE DE LALCOTE,
AZUAY,GUALACEO,ZHIDMAD,ZHIDMAD,
AZUAY,NABON,COCHAPATA,COCHAPATA,
AZUAY,NABON,COCHAPATA,ÑAMARIN,
AZUAY,NABON,EL PROGRESO,,
AZUAY,NABON,NABON,CHUNASANA,
AZUAY,NABON,NABON,NABON,
AZUAY,NABON,NABON,NABON,
AZUAY,NABON,NABON,RAÑAS,
AZUAY,NABON,NABON,ZHIÑA,
AZUAY,NABON,NIEVES,LA PAZ,
AZUAY,NABON,NIEVES,LAS NIEVES,
AZUAY,OÑA,OÑA,MORAS LOMA,
AZUAY,OÑA,OÑA,OÑA,
AZUAY,OÑA,SUSUDEL,,
AZUAY,PAUTE,BULAN / J. VICTOR IZQUIERDO,,
AZUAY,PAUTE,CHICAN / GUILLERMO ORTEGA,CHICAN /G. ORTEGA,
AZUAY,PAUTE,CHICAN / GUILLERMO ORTEGA,UZHUPUD,
AZUAY,PAUTE,DUG-DUG,DUG - DUG,
AZUAY,PAUTE,DUG-DUG,LAZUL,
AZUAY,PAUTE,EL CABO,,
AZUAY,PAUTE,GUARAINAC,GUARAINAC,
AZUAY,PAUTE,GUARAINAC,JUNTAS,
AZUAY,PAUTE,PAUTE,PAUTE,
AZUAY,PAUTE,PAUTE,PAUTE,
AZUAY,PAUTE,PAUTE,PAUTE,
AZUAY,PAUTE,PAUTE,VILLAFLOR,
AZUAY,PAUTE,PAUTE,ZHUMIR,
AZUAY,PAUTE,SAN CRISTOBAL,GUACHUN,
AZUAY,PAUTE,SAN CRISTOBAL,SAN CRISTOBAL,
AZUAY,PAUTE,TOMEBAMBA,,
AZUAY,PUCARA,PUCARA,CALIGUIÑA,
AZUAY,PUCARA,PUCARA,CERRO NEGRO,
AZUAY,PUCARA,PUCARA,GRAMALOTE,
AZUAY,PUCARA,PUCARA,LA DOLOROSA,
AZUAY,PUCARA,PUCARA,LAS PALMAS,
AZUAY,PUCARA,PUCARA,PELINCAY,
AZUAY,PUCARA,PUCARA,PUCARA,
AZUAY,PUCARA,PUCARA,SAN ANTONIO DE ÑUGRO,
AZUAY,PUCARA,PUCARA,SANTA CECILIA,
AZUAY,PUCARA,PUCARA,SARAYUNGA,
AZUAY,PUCARA,SAN RAFAEL DE SHARUG,GUARUMAL,
AZUAY,PUCARA,SAN RAFAEL DE SHARUG,SAN RAFAEL DE SHARUG,
AZUAY,SAN FERNANDO,CHUMBLIN,,
AZUAY,SAN FERNANDO,SAN FERNANDO,,
AZUAY,SANTA ISABEL,ABDON CALDERON / LA UNION,,
AZUAY,SANTA ISABEL,SAN SALVADOR DE CAÑARIBAMBA,,
AZUAY,SANTA ISABEL,SANTA ISABEL,JUBONES,
AZUAY,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL,
AZUAY,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL,
AZUAY,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL,
AZUAY,SANTA ISABEL,SANTA ISABEL,SANTA ISABEL,
AZUAY,SANTA ISABEL,SHAGLLI,HUERTAS,
AZUAY,SANTA ISABEL,SHAGLLI,PUCULCAY,
AZUAY,SANTA ISABEL,SHAGLLI,SHAGLLI,
AZUAY,SEVILLA DE ORO,AMALUZA,AMALUZA,
AZUAY,SEVILLA DE ORO,AMALUZA,SANTA RITA,
AZUAY,SEVILLA DE ORO,PALMAS,JURUPILLOS,
AZUAY,SEVILLA DE ORO,PALMAS,PALMAS,
AZUAY,SEVILLA DE ORO,PALMAS,SANTA ROSA,
AZUAY,SEVILLA DE ORO,SEVILLA DE ORO,CAIGUAS,
AZUAY,SEVILLA DE ORO,SEVILLA DE ORO,CHIMUL,
AZUAY,SEVILLA DE ORO,SEVILLA DE ORO,SEVILLA DE ORO,
AZUAY,SIGSIG,CUTCHIL,,
AZUAY,SIGSIG,GIMA,,
AZUAY,SIGSIG,GUEL,,
AZUAY,SIGSIG,LUDO,BUENA VISTA,
AZUAY,SIGSIG,LUDO,HATOBOLO,
AZUAY,SIGSIG,LUDO,LUDO,
AZUAY,SIGSIG,SAN BARTOLOME,LA LIBERTAD,
AZUAY,SIGSIG,SAN BARTOLOME,SAN BARTOLOMÉ,
AZUAY,SIGSIG,SAN BARTOLOME,SIGSIGLLANO,
AZUAY,SIGSIG,SAN JOSE DE RARANGA,LA ESMERALDA,
AZUAY,SIGSIG,SAN JOSE DE RARANGA,SAN JOSE DE RARANGA,
AZUAY,SIGSIG,SIGSIG,PIRUNCAY,
AZUAY,SIGSIG,SIGSIG,SIGSIG,
AZUAY,SIGSIG,SIGSIG,SIGSIG,
AZUAY,SIGSIG,SIGSIG,SIGSIG,
BOLIVAR,CALUMA,CALUMA / SAN ANTONIO/,CALUMA /SAN ANTONIO,
BOLIVAR,CALUMA,CALUMA / SAN ANTONIO/,CALUMA /SAN ANTONIO,
BOLIVAR,CALUMA,CALUMA / SAN ANTONIO/,CALUMA /SAN ANTONIO,
BOLIVAR,CALUMA,CALUMA / SAN ANTONIO/,PASAGUA,
BOLIVAR,CALUMA,CALUMA / SAN ANTONIO/,SAN PABLO DE PITA,
BOLIVAR,CALUMA,CALUMA / SAN ANTONIO/,YATUVI,
BOLIVAR,CHILLANES,CHILLANES,ACHIN,
BOLIVAR,CHILLANES,CHILLANES,ARRAYANPAMBA,
BOLIVAR,CHILLANES,CHILLANES,CHILLANES,
BOLIVAR,CHILLANES,CHILLANES,CHILLANES,
BOLIVAR,CHILLANES,CHILLANES,PALMIRA,
BOLIVAR,CHILLANES,CHILLANES,SAN JOSÉ DE GUAYABAL,
BOLIVAR,CHILLANES,CHILLANES,SAN VICENTE DE POROTOPAMBA,
BOLIVAR,CHILLANES,CHILLANES,SANTA ROSA DE CERRITOS,
BOLIVAR,CHILLANES,CHILLANES,UNDUSHI,
BOLIVAR,CHILLANES,SAN JOSE DE TAMBO,ANGELICA,
BOLIVAR,CHILLANES,SAN JOSE DE TAMBO,JUNTA NUEVA,
BOLIVAR,CHILLANES,SAN JOSE DE TAMBO,SAN JOSE DE TAMBO,
BOLIVAR,CHILLANES,SAN JOSE DE TAMBO,STA ROSA DE AGUA CLARA,
BOLIVAR,CHILLANES,SAN JOSE DE TAMBO,VALPARAISO,
BOLIVAR,CHIMBO,ASUNCION,,
BOLIVAR,CHIMBO,MAGDALENA/CHAPACOTO,,
BOLIVAR,CHIMBO,SAN JOSE DE CHIMBO,,
BOLIVAR,CHIMBO,SAN JOSE DE CHIMBO,,
BOLIVAR,CHIMBO,SAN SEBASTIAN,,
BOLIVAR,CHIMBO,TELIMBELA,TABLAS LA FLORIDA,
BOLIVAR,CHIMBO,TELIMBELA,TELIMBELA,
BOLIVAR,CHIMBO,TELIMBELA,UNION DE TIANDIAGOTE,
BOLIVAR,ECHEANDIA,ECHEANDIA,ECHEANDIA,
BOLIVAR,ECHEANDIA,ECHEANDIA,ECHEANDIA,
BOLIVAR,ECHEANDIA,ECHEANDIA,ECHEANDIA,
BOLIVAR,ECHEANDIA,ECHEANDIA,SABANETILLAS,
BOLIVAR,GUARANDA,ANGEL POLIVIO CHAVEZ,ANGEL POLIVIO CHAVEZ,
BOLIVAR,GUARANDA,ANGEL POLIVIO CHAVEZ,GUACHANA,
BOLIVAR,GUARANDA,ANGEL POLIVIO CHAVEZ,SAN JUAN DE LLULLUNDONGO,
BOLIVAR,GUARANDA,FACUNDO VELA,EL PORVENIR,
BOLIVAR,GUARANDA,FACUNDO VELA,FACUNDO VELA,
BOLIVAR,GUARANDA,GABRIEL I VEINTIMILLA,GABRIEL I VEINTIMILLA,
