"Level1","Level2","Level3","Level4","Level5","DisplayOrder"
"AZUAY","CAMILO PONCE ENRIQUEZ","CAMILO PONCE ENRIQUEZ","BELLA RICA",,"1"
"AZUAY","CAMILO PONCE ENRIQUEZ","CAMILO PONCE ENRIQUEZ","CAMILO PONCE ENRIQUEZ",,"2"
"AZUAY","CAMILO PONCE ENRIQUEZ","CAMILO PONCE ENRIQUEZ","SAN ALFONSO",,"3"
"AZUAY","CAMILO PONCE ENRIQUEZ","CAMILO PONCE ENRIQUEZ","SAN GERARDO",,"4"
"AZUAY","CAMILO PONCE ENRIQUEZ","CAMILO PONCE ENRIQUEZ","SANTA MARTHA",,"5"
"AZUAY","CAMILO PONCE ENRIQUEZ","CAMILO PONCE ENRIQUEZ","ZHUMIRAL",,"6"
"AZUAY","CAMILO PONCE ENRIQUEZ","EL CARMEN DE PIJILI",,,"7"
"AZUAY","CHORDELEG","CHORDELEG",,,"8"
"AZUAY","CHORDELEG","LA UNION",,,"9"
"AZUAY","CHORDELEG","LUIS GALARZA O. (DELEGSOL)",,,"10"
"AZUAY","CHORDELEG","PRINCIPAL",,,"11"
"AZUAY","CHORDELEG","SAN MARTIN DE PUZHIO",,,"12"
"AZUAY","CUENCA","BAÑOS","BAÑOS",,"13"
"AZUAY","CUENCA","BAÑOS","COCHAPAMBA",,"14"
"AZUAY","CUENCA","BELLAVISTA",,,"15"
"AZUAY","CUENCA","CAÑARIBAMBA",,,"16"
"AZUAY","CUENCA","CHAUCHA / ANGAS","CASCAJO",,"17"
"AZUAY","CUENCA","CHAUCHA / ANGAS","CEDRO",,"18"
"AZUAY","CUENCA","CHAUCHA / ANGAS","CHAUCHA /ANGAS",,"19"
"AZUAY","CUENCA","CHAUCHA / ANGAS","SAN ANTONIO",,"20"
"AZUAY","CUENCA","CHECA JIDCAY",,,"21"
"AZUAY","CUENCA","CHIQUINTAD",,,"22"
"AZUAY","CUENCA","CUMBE",,,"23"
"AZUAY","CUENCA","EL BATAN",,,"24"
"AZUAY","CUENCA","EL VECINO","EL VECINO",,"25"
"AZUAY","CUENCA","EL VECINO","LA CATÓLICA",,"26"
"AZUAY","CUENCA","EL VECINO","MIRAFLORES",,"27"
"AZUAY","CUENCA","HERMANO MIGUEL","EL PROGRESO",,"28"
"AZUAY","CUENCA","HERMANO MIGUEL","HERMANO MIGUEL",,"29"
"AZUAY","CUENCA","HERMANO MIGUEL","UNCOVIA",,"30"
"AZUAY","CUENCA","HUAYNACAPAC",,,"31"
"AZUAY","CUENCA","LLACAO",,,"32"
"AZUAY","CUENCA","MACHANGARA","CAPULISPAMBA",,"33"
"AZUAY","CUENCA","MACHANGARA","CHALLUABAMBA MACHANGARA",,"34"
"AZUAY","CUENCA","MACHANGARA","MACHÁNGARA",,"35"
"AZUAY","CUENCA","MACHANGARA","OCHOA LEON",,"36"
"AZUAY","CUENCA","MACHANGARA","QUINTA CHICA",,"37"
"AZUAY","CUENCA","MOLLETURO","ABDON CALDERÓN",,"38"
"AZUAY","CUENCA","MOLLETURO","AGUAS CALIENTES",,"39"
"AZUAY","CUENCA","MOLLETURO","CAYMATAN",,"40"
"AZUAY","CUENCA","MOLLETURO","ESTERO PIEDRA",,"41"
"AZUAY","CUENCA","MOLLETURO","FLOR Y SELVA",,"42"
"AZUAY","CUENCA","MOLLETURO","JESUS DEL GRAN PODER",,"43"
"AZUAY","CUENCA","MOLLETURO","MOLLETURO",,"44"
"AZUAY","CUENCA","MOLLETURO","SAN JOSE DE RECREO",,"45"
