Level1,Level2,Level3,Level4,Level5,Number,Address
Akershus,Ås,,,,Åsgård skole,"Skoleveien 15
1430 Ås
Akershus"
Akershus,Ås,,,,Granheimtunet - Nordby eldresenter/seniortreff,"Granheimtunet 3
1406 Ski
Akershus"
Akershus,Ås,,,,Nordbytun ungdomsskole - auditorium,"Emily Kirkeruds vei 6
1407 Vinterbro
Akershus"
Akershus,Ås,,,,Rustad skole - atrium,"Bestemors vei 2
1434 Ås
Akershus"
Akershus,Asker,,,,Borgen ungdomskole,"Vardefaret 4
1388 Borgen
Akershus"
Akershus,Asker,,,,Heggedalshallen,"Heggedalsbakken 9
1389 Heggedal
Akershus"
Akershus,Asker,,,,Hofstad skole,"Hofstadgata 14
1384 Asker
Akershus"
Akershus,Asker,,,,Hovenga samfunnshus,"Knivsfjelleveien 2
3490 Klokkarstua
Akershus"
Akershus,Asker,,,,Leikvollhallen,"Brages vei 5
1387 Asker
Akershus"
Akershus,Asker,,,,Midtbygda skole,"Spikkestadveien 21
3440 Røyken
Akershus"
Akershus,Asker,,,,Nesbru videregående skole,"Halvard Torgersens vei 8
1396 Billingstad
Akershus"
Akershus,Asker,,,,Nesøya skole,"Tverråsen 4
1397 Nesøya
Akershus"
Akershus,Asker,,,,ROS Arena,"Ovnerudveien 1
3430 Spikkestad
Akershus"
Akershus,Asker,,,,Sætre barneskole,"Søndre Sætrevei 1
3475 Sætre
Akershus"
Akershus,Asker,,,,Slemmestadhallen,"Skolebakken 10
3470 Slemmestad
Akershus"
Akershus,Asker,,,,Solvang ungdomsskole,"Solvangveien 32
1383 Asker
Akershus"
Akershus,Asker,,,,Tofte ungdomsskole,"Skoledalen 89
3482 Tofte
Akershus"
Akershus,Asker,,,,Vollen ungdomsskole,"Håkavikveien 45
1390 Vollen
Akershus"
Akershus,Aurskog-Høland,,,,"Aurskog-Finstadbru Sportsklubb, Aurskoghallen","Aurveien 41
1930 Aurskog
Akershus"
Akershus,Aurskog-Høland,,,,"Bjørkelangen sportsforening, sportshall","Haldenveien 45
1940 Bjørkelangen
Akershus"
Akershus,Aurskog-Høland,,,,Høland stadion,"Idrettsveien 4
1960 Løken
Akershus"
Akershus,Aurskog-Høland,,,,Rømskog kulturhus,"Engehaget 1
1950 Rømskog
Akershus"
Akershus,Aurskog-Høland,,,,Setskog oppvekstsenter,"Måsabyveien 4
1954 Setskog
Akershus"
Akershus,Aurskog-Høland,,,,"Søndre Høland Idretts- og ungdomslag, Søndrehallen","Bråtevangveien 7
1970 Hemnes
Akershus"
Akershus,Bærum,,,,"Bærum idrettspark, flerbrukshallen","Hauger skolevei 36
1351 Rud
Akershus"
Akershus,Bærum,,,,"Bekkestua bibliotek, storsalen","Gamle Ringeriksvei 44
1357 Bekkestua
Akershus"
Akershus,Bærum,,,,Combihallen,"Nedre Åsvei 1
1341 Slependen
Akershus"
Akershus,Bærum,,,,"Eiksmarka skole, gymsalen","Niels Leuchs vei 56
1359 Eiksmarka
Akershus"
Akershus,Bærum,,,,"Grav skole, lille gymsal","Hosleveien 24
1358 Jar
Akershus"
Akershus,Bærum,,,,"Hosle skole, gymsalen","Bispeveien 73
1362 Hosle
Akershus"
Akershus,Bærum,,,,"Høvik Verk skole, gymsalen","Fjordveien 76
1363 Høvik
Akershus"
Akershus,Bærum,,,,"Hundsund Idrettshall, flerbrukshallen","Snarøyveien 81
1364 Fornebu
Akershus"
Akershus,Bærum,,,,"Jar skole, gymsalen","Storengveien 2
1358 Jar
Akershus"
Akershus,Bærum,,,,"Løkeberg skole, store gymsalen","Bærumsveien 340
1344 Haslum
Akershus"
Akershus,Bærum,,,,"Lommedalen skole, festsalen","Gamleveien 132
1350 Lommedalen
Akershus"
Akershus,Bærum,,,,"Mølladammen skole, gymsal","Lommedalsveien 239
1350 Lommedalen
Akershus"
Akershus,Bærum,,,,"Ramstad skole, kantinen","Høvikveien 30
1363 Høvik
Akershus"
