Level1,Level2,Level3,Level4,Level5,Number,Address,DisplayOrder
1,Argentinos(as),,,,1,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",1
1,Argentinos(as),,,,2,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",2
1,Argentinos(as),,,,3,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",3
1,Argentinos(as),,,,4,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",4
1,Argentinos(as),,,,5,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",5
1,Extranjeros(as),,,,1,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",6
1,Extranjeros(as),,,,2,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",7
1,Extranjeros(as),,,,3,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",8
1,Extranjeros(as),,,,4,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",9
1,Extranjeros(as),,,,5,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",10
1,Extranjeros(as),,,,6,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",11
1,Extranjeros(as),,,,7,"Esc. Nº26 ""Hipólito Yrigoyen"" - Av. San Juan 353",12
1,Argentinos(as),,,,1,Inst. María Auxiliadora - Av. Juan de Garay 556 / s/n,13
1,Argentinos(as),,,,2,Inst. María Auxiliadora - Av. Juan de Garay 556 / s/n,14
1,Argentinos(as),,,,3,Inst. María Auxiliadora - Av. Juan de Garay 556 / s/n,15
1,Argentinos(as),,,,4,Inst. María Auxiliadora - Av. Juan de Garay 556 / s/n,16
1,Argentinos(as),,,,5,Inst. María Auxiliadora - Av. Juan de Garay 556 / s/n,17
1,Argentinos(as),,,,1,"Esc. Nº3 ""Bernardino Rivadavia"" - Bolivar 1235",18
1,Argentinos(as),,,,2,"Esc. Nº3 ""Bernardino Rivadavia"" - Bolivar 1235",19
1,Argentinos(as),,,,3,"Esc. Nº3 ""Bernardino Rivadavia"" - Bolivar 1235",20
1,Argentinos(as),,,,4,"Esc. Nº3 ""Bernardino Rivadavia"" - Bolivar 1235",21
1,Argentinos(as),,,,5,"Esc. Nº3 ""Bernardino Rivadavia"" - Bolivar 1235",22
1,Argentinos(as),,,,1,Inst. Simón Bolivar - Bolivar 1163,23
1,Argentinos(as),,,,2,Inst. Simón Bolivar - Bolivar 1163,24
1,Argentinos(as),,,,3,Inst. Simón Bolivar - Bolivar 1163,25
1,Argentinos(as),,,,1,Esc. Interdisciplinaria Nº3 - Piedras 1430,26
1,Argentinos(as),,,,2,Esc. Interdisciplinaria Nº3 - Piedras 1430,27
1,Argentinos(as),,,,3,Esc. Interdisciplinaria Nº3 - Piedras 1430,28
1,Argentinos(as),,,,4,Esc. Interdisciplinaria Nº3 - Piedras 1430,29
1,Argentinos(as),,,,1,"Esc. Nº27 ""Dean Funes"" - Defensa 1431",30
1,Argentinos(as),,,,2,"Esc. Nº27 ""Dean Funes"" - Defensa 1431",31
1,Argentinos(as),,,,3,"Esc. Nº27 ""Dean Funes"" - Defensa 1431",32
1,Argentinos(as),,,,1,"Esc. Nº4 ""B. Fernández Moreno"" - Perú 1357",33
1,Argentinos(as),,,,2,"Esc. Nº4 ""B. Fernández Moreno"" - Perú 1357",34
1,Argentinos(as),,,,3,"Esc. Nº4 ""B. Fernández Moreno"" - Perú 1357",35
1,Argentinos(as),,,,4,"Esc. Nº4 ""B. Fernández Moreno"" - Perú 1357",36
1,Argentinos(as),,,,5,"Esc. Nº4 ""B. Fernández Moreno"" - Perú 1357",37
1,Argentinos(as),,,,1,"Esc. Nº21 ""Hipólito Vieytes"" - Perú 946",38
1,Argentinos(as),,,,2,"Esc. Nº21 ""Hipólito Vieytes"" - Perú 946",39
1,Argentinos(as),,,,3,"Esc. Nº21 ""Hipólito Vieytes"" - Perú 946",40
1,Argentinos(as),,,,4,"Esc. Nº21 ""Hipólito Vieytes"" - Perú 946",41
1,Argentinos(as),,,,5,"Esc. Nº21 ""Hipólito Vieytes"" - Perú 946",42
1,Argentinos(as),,,,1,"Esc. Nº1 ""Valentín Gómez"" - Av. Independencia 758",43
1,Argentinos(as),,,,2,"Esc. Nº1 ""Valentín Gómez"" - Av. Independencia 758",44
1,Argentinos(as),,,,3,"Esc. Nº1 ""Valentín Gómez"" - Av. Independencia 758",45
1,Argentinos(as),,,,4,"Esc. Nº1 ""Valentín Gómez"" - Av. Independencia 758",46
1,Extranjeros(as),,,,1,"Esc. Nº1 ""Valentín Gómez"" - Av. Independencia 758",47
1,Extranjeros(as),,,,2,"Esc. Nº1 ""Valentín Gómez"" - Av. Independencia 758",48
1,Extranjeros(as),,,,3,"Esc. Nº1 ""Valentín Gómez"" - Av. Independencia 758",49
