number,country,city,location,address,latitude,longitude
1,Africa de Sud,Pretoria,Ambasadă,"877 Justice Mahomed str.  Brooklyn, Pretoria 0181",-25.7670768,28.23457711
2,Africa de Sud,Cape Town,Consulat General,"Helderberg House, 24 Highwick  Drive, Kemilworth, 7708, Cape Town",-33.99158102,18.46131738
3,Republica Albania,Tirana,Ambasadă,"str. e Elbasanit, nr.303, Sauk, cod poștal 1044, Tirana",41.30640544,19.84202563
4,Algeria,Alger,Ambasadă,"24, rue Abri Arezki, Hydra, cod poștal 16035, Alger",36.74566941,3.03825429
5,Angola,Luanda,Ambasadă,"Rua Ramalho Ortigão, nr. 30, Bairro Alvalade, Luanda",-8.82912736,13.2355348
6,Regatul Arabiei Saudite,Riyadh,Ambasadă,"Amin al Rihany, building no  2747, villa no 8, zip code 12273",24.7421333,46.66582325
7,Argentina,Buenos Aires,Ambasadă,"Calle Arroyo, nr. 962-970, cod poștal 1007AAD, Orașul Autonom Buenos Aires",-34.59170935,-58.38094083
8,Armenia,Erevan,Ambasadă,"Strada Barbusse, nr. 15, cartier  Arabkir, cod poștal  0028, Erevan",40.1972727,44.48660739
9,Australia,Canberra,Ambasadă,"4 Dalman Crescent, O`Malley,  Act, 2606",-35.35025747,149.10869301
10,Australia,Melbourne,Oficiu Consular,"Suite 10.01 A, etaj 10, 5 Queens Road, Melbourne 3004 Victoria",-37.83699614,144.97402879
11,Australia,Adelaide,Altele,"32/34 Rosa St, Goodwood  5034  South Australia",-34.9511785,138.5913043
12,Australia,Perth,Altele,"8 Clive Street, West Perth 6005,  Western Australia",-31.9468215,115.8422594
13,Noua Zeelandă,Auckland,Altele,"Etaj 16, 56 Wakefield Street,  Auckland CBD, Auckland 1010",-36.85421309,174.76549414
14,Australia,Sydney,Consulat General,"Suite 4, GF/83 York Street, Sydney, NSW, 2000",-33.86947544,151.20584367
15,Australia,Surfers Paradise,Altele,"Suite 1, 66 Appel Street, Surfers Paradise,QLD, 4217",-28.00435317,153.42814779
16,Austria,Viena,Ambasadă,"Prinz Eugen Strasse 60, 1040, Viena",48.19081421,16.37963719
17,Austria,Viena,Ambasadă,"Prinz Eugen Strasse 60, 1040, Viena",48.19081421,16.37963719
18,Austria,Viena,Secție Consulară,"Theresianumgasse 25, 1040, Viena",48.19155183,16.37377812
19,Austria,Viena,Institut cultural român,"Argentinierstrasse 39, 1040, Viena",48.19184358,16.37497311
20,Austria,Viena,Institut cultural român,"Argentinierstrasse 39, 1040, Viena",48.19184358,16.37497311
21,Austria,Viena,Altele,"Gasometer Spielraum - Guglgasse 8/Gasometer B,  Spielraum, etajul 1, 1110, Viena",48.18552556,16.41946987
22,Austria,Eisenstadt,Altele,"Hotel Galantha - Esterhazyplatz 3, 7000, Eisenstadt",47.84522683,16.51905163
