Key,en,ka,hy,ru,az
common.skip,Next,შემდეგი,,,Növbəti
common.search,Search,ძებნა,,,Axtar
common.loading,Loading...,იტვირთება,,,Yüklənir
common.status.completed,Done,შესრულებულია,,,Yerinə yetirildi
common.status.in_progress,In progress,მიმდინარეობს,,,Davam edir
common.status.not_started,Not started,არ დაწყებულა,,,Başlamayıb
common.cancel,Cancel,გაუქმება,,,Ləğv etmək
common.save,Save,შენახვა,,,Yaddaşa almaq
common.no_data,No data found.,მონაცემი არ მოიძებნა,,,Məlumat tapılmadı
common.select,Select,მონიშვნა,,,İzləmək
common.done,Done,შესრულებულია,,,Yerinə yetirildi
languages.ro,Romanian,რუმინული,Ռումիներեն լեզու,Румынский язык,Rumın dili
languages.en,English,ინგლისური,Անգլերեն լեզու,Английский язык,İngilis dili
languages.pl,Polish,პოლონური,Լեհերեն լեզու,Польский язык,Polyak dili
languages.bg,Bulgarian,ბულგარული,բուլղարերեն լեզու,Болгарский язык,Bolqar dili
languages.sr,Serbian,სერბული,սերբերեն լեզու,Сербский язык,Serb dili
languages.ka,Georgian,ქართული,Վրացերեն լեզու,Грузинский язык,Gürcü dili
languages.hy,Armenian,სომხური,Հայոց լեզու,Армянский язык,Erməni dili
languages.ru,Russian,რუსული,Ռուսաց լեզու,Русский язык,Rus dili
languages.az,Azerbaijani,აზერბაიჯანული,ադրբեջաներեն լեզու,Азербайджанский язык,Azərbaycan dili
onboarding.language.heading,Choose your language,აირჩიე ენა,,,Dil seç
onboarding.language.description,"This will be the language in which your app will be displayed, and can be changed at any time from the More Section of the application.","არჩეული ენა იქნება თქვენი აპლიკაციის ძირითადი ენა, რომელიც ნებისმიერ დროს შეიძლება შეიცვალოს აპლიკაციის სექციიდან ""More""",,,"Seçdiyiniz dil sizin 
aplikasiyanın əsas dili olacaq və istənilən zaman  aplikasiyanın  “More” bölməsindən  dəyişə bilər
"
onboarding.language.save,Apply selection,მონიშნულის გააქტიურება,,,İzlənilənin aktivləşdirilməsi
onboarding.polling_stations.heading,Monitor polling stations,საარჩევნო უბნებზე დაკვირვება,,,Seçki məntəqələrində müşahidəçilik
onboarding.polling_stations.description,"and document in real-time the entire election process, on forms which your accrediting NGO has set up","და რეალურ დროში ასახეთ მთელი საარჩევნო პროცესი, თქვენი არასამთავრობო ორგანიზაციის მიერ წინასწარ შედგენილ ფორმებზე.",,,Və real vaxtda sizin qeyri-hökumət təşkilatı tərəfindən əvvəlcədən tərtib edilmiş formalarda bütün seçki prosesini  təsvir edin.
onboarding.forms.heading,Fill in observation forms,შეავსეთ დამკვირვებლის ფორმები,,,Müşahidəçi formalarını doldurun
onboarding.forms.description,and track their progress during each monitoring stage,და ადევნეთ თვალი მათ პროგრესს მონიტორინგის თითოეულ ეტაპზე,,,Və monitorinqin hər bir mərhələsində onların tərəqqisinə nəzər yetirin
onboarding.media.heading,Add notes or media files,დაამატეთ შენიშვნა ან მედია ფაილები,,,Qeyd və ya media fayllar əlavə edin
onboarding.media.description,if you notice any problems to further support your answers,"თუ თქვენ შეამჩნიეთ რაიმე პრობლემა, რომელიც დამატებით დაადასტურებს თქვენს მიერ მონიშნულ პასუხს",,,Əgər siz izlədiyiniz cavabı əlavə olaraq təsdiq edəcək hansısa problem görübsünüzsə
onboarding.media.save,Go to app,აპზე გადასვლა,,,Appa keçid
login.disclaimer.paragraph1,"Please note that if you are not accredited as an independent observer by an organization that monitors election processes in your country, you cannot use the Vote Monitor app.","გთხოვთ, გაითვალისწინოთ, რომ თუ თქვენ არ ხართ აკრედიტირებული დამოუკიდებელი დამკვირვებელი იმ ორგანიზაციის მიერ, რომელიც დაკვირვებას ახორციელებს თქვენს ქვეყანაში, თქვენ არ შეგიძლიათ გამოიყენოთ Vote Monitor აპლიკაცია. ",,,"Xahiş edirik, nəzərə alasınız ki, əgər siz ölkənizdə müşahidəni həyata keçirən təşkilat tərəfindən akreditasiyalı müstəqil müşahidəçi deyilsinizsə siz Vote Monitor aplikasiyadan istifadə edə bilməyəcəksiniz."
login.disclaimer.paragraph2,Please refer to such organizations to learn what steps you need to take to become an electoral observer or contact us for further information at,"გთხოვთ მიმართოთ ასეთ ორგანიზაციებს იმ შემდგომი ნაბიჯების გადასადგმელად, რაც საჭიროა, რომ გახდეთ საარჩევნო დამკვირვებელი ან დაგვიკავშირდეთ დამატებითი ინფორმაციისთვის შემდეგ მისამართზე: ",,,"Xahiş edirik, atılması lazım olan növbəti addımlar üçün belə təşkilatlara müraciət edin ki, seçki müşahidəçisi ola biləsiniz və ya əlavə məlumat üçün sonrakı ünvan vasitəsilə bizimlə əlaqə saxlayasanız:"
login.disclaimer.email,info@commitglobal.org,info@commitglobal.org,,,info@commitglobal.org
login.heading,Log in,ავტორიზაცია,,,Avtorizasiya
login.paragraph,Please use the email address with which you registered as an independent observer:,"გთხოვთ გამოიყენოთ ელ. ფოსტის ის მისამართი, რომლთაც დარეგისტრირდით დამკვირვებლად",,,"Xahiş edirik, müşahidəçi olaraq qeydiyyatdan keçdiyiniz E-poçt ünvanından istifadə edəsiniz"
login.form.email.label,E-mail *,ელ. ფოსტა*,,,El-poçt*
login.form.email.placeholder,E-mail,ელ. ფოსტა,,,El-Poçt
login.form.email.required,E-mail is mandatory,ელ. ფოსტის მითითება სავალდებულოა,,,E-poçtu qeyd etmək mütləqdir
login.form.email.pattern,E-mail format is not valid,არასწორი ელ. ფოსტის ფორმატი,,,Yanlış E-poçt formatı
login.form.password.label,Password *,პაროლი*,,,Parol*
login.form.password.placeholder,Password,პაროლი,,,Parol
login.form.password.required,Password is mandatory,პაროლის მითითება სავალდებულოა,,,Parolu qeyd etmək mütləqdir
